,text
0,RESEARCH ARTICLE Fatty Liver Disease: Predictors of Nonalcoholic Steatohepatitis and Gallbladder Disease in Morbid Obesity Phui-Ly Liew &Wei-Jei Lee &Weu Wang &Yi-Chih Lee & Wei-Yu Chen &Chia-Lang Fang &Ming-Te Huang Received: 31 July 2007 /Accepted: 7 September 2007 / Published online: 6 May 2008 #Springer Science + Business Media B.V. 2007 Abstract Background Nonalcoholic steatohepatitis (NASH) 
1,"and gall- bladder disease (GD) are members of metabolic syndromein morbidly obesity. Insulin resistance is a risk factor for NASH and GD. The aim of the present study was to investigate the relationship between insulin resistance(HOMA-IR), liver fibrosis, NASH and GD in morbidly obese patients who presented with fatty liver during preoperative abdominal ultrasonography examination. Methods We stud"
2,"ied 152 morbid obese patients with fatty liver disease including 54 with NASH, 11 with GD and two with concurrent NASH and GD that were undergoinglaparoscopic bariatric surgery. Clinical data (gender, age, body mass index [BMI], and associated diseases), labora- tory evaluation, and histopathology were obtained from thepatient databases. We analyzed the relationship between clinical characteristic"
3,"s, histological parameters, HOMA-IR,and fibrosis stage associated with NASH and GD in morbid obese patients. Results Among the 152 patients with fatty liver disease, 93 were females and 59 were males. The mean age was 30.3±8.9 years and the mean BMI was 44.9±5.4 kg/m 2. Fifty- four patients (54/152, 35.5%) were diagnosed as NASH and 11 patients (11/152, 7.2%) received concomitant lapa-roscopic cho"
4,"lecystectomy because of gallbladder disease (GD). Morbidly obese patients with fatty liver disease and GD were significantly older ( P=0.020), had higher serum levels of cholesterol ( P=0.020) and low-density lipopro- tein (LDL)-cholesterol ( P=0.044), and had lower serum levels of total bilirubin ( P=0.044), C-peptide ( P=0.023), and insulin ( P=0.039) than the NASH group. Histopathol- ogy factor"
5,"s of hepatic steatosis ( P=0.012), ballooning degeneration ( P=0.001), lobular inflammation ( P=0.019), fibrosis ( P=0.026), and glycogenated nuclei ( P=0.028) were significantly different between NASH and GD groups.However, further multivariate analysis failed to demonstrate any independent clinicopathological factor. The prevalence of chronic hepatitis B and NASH was the same (18%) inall 11 GD p"
6,"atients. Besides, when we compared NASH patients ( n=54) with concurrent NASH-GD patients ( n=2), we found that waist ( P=0.016), waist/hip ( P=0.039), and HOMA-IR ( P=0.040) were independent associated factors. We further assessed the HOMA-IR distribution and the relationship between fibrosis stage in patients with NASHand GD. In the NASH group, HOMA-IR distribution progressively decreased when t"
7,"he severity of fibrosis was plotted as a function of insulin resistance. Conclusion The prevalence of NASH in gallbladder dis- ease was 18% in morbid obese population. We concluded that age, serum cholesterol, and low-density lipoproteinOBES SURG (2008) 18:847 –853 DOI 10.1007/s11695-007-9355-0 P.-L. Liew Department of Pathology, Taipei Medical University Hospital, Taipei City, Taiwan W.-J. Lee De"
8,"partment of Surgery, Min-Sheng General Hospital,Taoyuan Hsien, Taiwan W. Wang:M.-T. Huang ( *) Department of Surgery, Taipei Medical University Hospital,No 252, Wu-Hsing Street, 110 Taipei City, Taiwane-mail: mthuang@giga.net.tw Y.-C. Lee Department of International Business, Ching Yun University, Zhongli City, Taiwan W.-Y. Chen :C.-L. Fang Department of Pathology, Municipal Wan Fang Hospital, Tai"
9,"pei Medical University, Taipei City, Taiwancholesterol levels were risk factors associated with gall- bladder disease and fatty liver disease. Insulin resistance was more common in concurrent NASH and gallbladderdisease. The mechanism between insulin resistance, fibrosis stage, NASH, and gallbladder disease is unknown. Keywords Morbid obesity .Fatty liver disease . Nonalcoholic steatohepatitis .Ga"
